x,Nx.india,Nx.usa,hx,Lx
0,23904.724,3931.967,0.00557,0.99522
1,23490.946,3919.5,0.00039,0.99427
2,23249.755,3919.461,0.00023,0.99396
3,23159.066,3930.158,0.00018,0.99376
4,22977.331,3903.01,0.00014,0.9936
5,23273.531,3955.644,0.00013,0.99346
6,23613.072,4008.192,0.00012,0.99333
7,23977.796,4059.364,0.00011,0.99322
8,24349.553,4107.872,0.00011,0.99311
9,24736.055,4156.677,0.00011,0.993
10,25145.017,4208.742,0.00012,0.99289
11,25428.937,4241.52,0.00013,0.99277
12,25517.919,4245.22,0.00014,0.99263
13,25471.42,4231.306,0.00017,0.99248
14,25421.618,4220.681,0.00021,0.9923
15,25345.475,4208.74,0.00027,0.99206
16,25249.256,4210.781,0.00036,0.99174
17,25150.445,4236.404,0.00045,0.99134
18,25042.103,4278.618,0.00064,0.9908
19,24902.147,4316.059,0.00071,0.99013
20,24737.795,4347.272,0.00078,0.98939
21,24559.248,4397.31,9e-04,0.98857
22,24370.326,4474.657,0.00091,0.98767
23,24172.374,4565.701,0.00096,0.98675
24,23957.593,4651.027,0.00098,0.9858
25,23721.165,4737.732,0.00105,0.98479
26,23504.167,4788.205,0.00111,0.98373
27,23324.235,4782.769,0.00114,0.98262
28,23160.754,4739.004,0.00121,0.98147
29,22973.8,4695.388,0.00126,0.98026
30,22769.345,4645.691,0.00134,0.97899
31,22531.536,4592.419,0.00139,0.97765
32,22247.782,4541.165,0.00142,0.97628
33,21923.683,4490.237,0.00151,0.97486
34,21588.631,4433.909,0.00155,0.97337
35,21250.195,4375.2,0.00162,0.97183
36,20838.645,4315.098,0.00168,0.97023
37,20326.543,4254.149,0.00177,0.96855
38,19750.858,4194.587,0.00189,0.96678
39,19172.465,4137.614,0.00197,0.96492
40,18574.948,4082.405,0.00208,0.96297
41,18030.333,4040.406,0.00211,0.96096
42,17579.309,4017.264,0.00221,0.95888
43,17188.857,4008.404,0.0023,0.95672
44,16786.422,4003.094,0.00243,0.95446
45,16387.89,4002.87,0.00264,0.95205
46,15981.05,4009.404,0.00286,0.94943
47,15552.998,4022.256,0.00311,0.94661
48,15114.251,4040.872,0.00335,0.94356
49,14685.432,4061.465,0.00362,0.94027
50,14259.062,4080.383,0.0039,0.93674
51,13851.316,4112.964,0.0043,0.93291
52,13471.225,4165.027,0.00466,0.92873
53,13108.111,4226.569,0.00502,0.92425
54,12743.067,4281.521,0.0056,0.91935
55,12380.833,4332.795,0.00615,0.91396
56,12004.585,4362.769,0.00664,0.90814
57,11604.342,4360.922,0.00727,0.90184
58,11188.093,4333.852,0.0078,0.89508
59,10768.32,4300.884,0.00844,0.88784
60,10335.939,4260.806,0.00902,0.88013
61,9919.604,4197.638,0.00987,0.87186
62,9532.692,4106.208,0.01062,0.86297
63,9157.137,3993.65,0.01129,0.85357
64,8775.628,3871.35,0.01198,0.8437
65,8408.596,3735.929,0.01275,0.83333
66,7958.707,3602.786,0.01371,0.82238
67,7381.22,3480.392,0.01466,0.8108
68,6729.525,3361.57,0.01555,0.79865
69,6097.227,3234.769,0.01661,0.78591
70,5460.17,3107.225,0.01819,0.77235
71,4906.194,2956.039,0.01993,0.75778
72,4486.765,2770.249,0.02157,0.74222
73,4160.024,2564.001,0.02371,0.72561
74,3831.252,2361.344,0.02556,0.70796
75,3517.712,2156.197,0.02872,0.68902
76,3217.896,1973.453,0.03154,0.66858
77,2921.016,1827.535,0.03451,0.64687
78,2631.933,1707.062,0.03754,0.624
79,2367.723,1586.129,0.0416,0.59981
80,2126.684,1469.802,0.04611,0.5741
81,1890.169,1357.365,0.05142,0.5468
82,1651.134,1245.835,0.05695,0.518
83,1416.653,1137.042,0.06371,0.48771
84,1200.056,1035.221,0.07061,0.45608
85,997.732,938.832,0.07833,0.42339
86,819.351,849.231,0.08749,0.38976
87,670.765,767.29,0.09863,0.3552
88,546.76,691.462,0.10888,0.32025
89,423.403,616.131,0.11825,0.28591
90,324.773,563.171,0.12479,0.2532
91,262.69,502.66,0.14095,0.22178
92,202.817,421.119,0.15921,0.19095
93,144.383,320.109,0.17833,0.16136
94,103.428,246.668,0.1999,0.13362
95,81.254,212.578,0.21679,0.1085
96,65.352,178.289,0.23767,0.08646
97,48.838,135.554,0.25996,0.06743
98,31.717,84.374,0.28365,0.05138
99,20.303,52.727,0.30868,0.03819
100,44.784,89.949,0.33498,0.02767
