x,hx,hx.covid,Nx
0,0.00557,6.4766099787308e-07,3729276.03
1,0.00039,7.49131886354795e-07,3785950.74
2,0.00023,8.66500507204338e-07,3859573.38
3,0.00018,1.00225760331577e-06,3946429.63
4,0.00014,1.15928414934833e-06,4008898.15
5,0.00013,1.34091249044568e-06,4025036.68
6,0.00012,1.55099705973206e-06,4012825.27
7,0.00011,1.79399617531935e-06,4010542.9
8,0.00011,2.07506665268369e-06,4035495.62
9,0.00011,2.40017324023191e-06,4055684.53
10,0.00012,2.77621520044904e-06,4053012.54
11,0.00013,3.22564595892047e-06,4116461.65
12,0.00014,3.74783332740813e-06,4190302.43
13,0.00017,4.35455559255857e-06,4182809.48
14,0.00021,5.05949778236184e-06,4159808.48
15,0.00027,5.8785603411446e-06,4158428.3
16,0.00036,6.83021777476623e-06,4149367.61
17,0.00045,7.93593535550047e-06,4129397.8
18,0.00064,9.22065328566166e-06,4177372.06
19,0.00071,1.07133492406102e-05,4269495.72
20,0.00078,1.24476919796738e-05,4278143.73
21,9e-04,1.38497946338614e-05,4252676.18
22,0.00091,1.54098295260969e-05,4265167.54
23,0.00096,1.71455860755361e-05,4294344.72
24,0.00098,1.90768574938333e-05,4366582.14
25,0.00105,2.12256664914645e-05,4465766.54
26,0.00111,2.36165164075116e-05,4549617.62
27,0.00114,2.62766706265997e-05,4647605.4
28,0.00121,2.92364634692352e-05,4752096.95
29,0.00126,3.25296461006992e-05,4789622.15
30,0.00134,3.61937714029683e-05,4689387.7
31,0.00139,4.00973037674503e-05,4538799.55
32,0.00142,4.44218357771726e-05,4443975.47
33,0.00151,4.92127726407368e-05,4409975.4
34,0.00155,5.45204165612941e-05,4430284.71
35,0.00162,6.04004948820241e-05,4373525.16
36,0.00168,6.69147451926003e-05,4331430.08
37,0.00177,7.41315635399407e-05,4355466.56
38,0.00189,8.21267225490974e-05,4322259.35
39,0.00197,9.0984166994164e-05,4332965.7
40,0.00208,0.000100796895172251,4234225.34
41,0.00211,0.000113654912743261,4054061.61
42,0.00221,0.000128153145675805,3988792.22
43,0.0023,0.00014450082579099,3906485.28
44,0.00243,0.000162933875279973,3902650.34
45,0.00264,0.000183718311424386,3895239.81
46,0.00286,0.000207154085635231,3856493.66
47,0.00311,0.00023357941221352,3965801.74
48,0.00335,0.000263375649303316,4161784.73
49,0.00362,0.000296972802476845,4297726.32
50,0.0039,0.000334855730376896,4205293.13
51,0.0043,0.000373084939521623,4042531.21
52,0.00466,0.000415678632529852,3994034.93
53,0.00502,0.000463135085976508,4025306.91
54,0.0056,0.000516009462783884,4175954.28
55,0.00615,0.000574920306720231,4327153.08
56,0.00664,0.000640556778350625,4354119.34
57,0.00727,0.000713686717088948,4335600.5
58,0.0078,0.000795165623663722,4346387.65
59,0.00844,0.000885946668078049,4381285.94
60,0.00902,0.000987091840140384,4314141.14
61,0.00987,0.00109653832085009,4213500.99
62,0.01062,0.00121811997647729,4162752.55
63,0.01129,0.00135318232740167,4052361.03
64,0.01198,0.00150322008221851,3949511.42
65,0.01275,0.00166989367938609,3837817.5
66,0.01371,0.00185504766297307,3671408.04
67,0.01466,0.0020607310958665,3514088.56
68,0.01555,0.00228922023634969,3377305.2
69,0.01661,0.00254304372900695,3272680.72
70,0.01819,0.00282501058873817,3165855.29
71,0.01993,0.00318303075639221,3079367.17
72,0.02157,0.0035864236532523,3102299.33
73,0.02371,0.00404093947090428,2731735.54
74,0.02556,0.00455305713609832,2280085.02
75,0.02872,0.00513007666505254,2208728.58
76,0.03154,0.00578022322203253,2174008.44
77,0.03451,0.00651276436551696,2031119.82
78,0.03754,0.00733814215324241,1782415.2
79,0.0416,0.00826812198922827,1626856.27
80,0.04611,0.00931596033453151,1504227.46
81,0.05142,0.0104107633174818,1392182.8
82,0.05695,0.0116342265274442,1276232.13
83,0.06371,0.0130014699944814,1160415.78
84,0.07061,0.0145293906405081,1073434.83
85,0.07833,0.0162368710979674,958470.08
86,0.08749,0.0181450130686821,854650.87
87,0.09863,0.0202773981068226,779391.29
88,0.10888,0.0226603790488445,704318.87
89,0.11825,0.0253234056920023,630521.57
90,0.12479,0.0282993887462988,591173.87
91,0.14095,0.0316251065577278,503989.86
92,0.15921,0.0353416596292542,419647.85
93,0.17833,0.039494978556676,333429.84
94,0.1999,0.0441363916566365,263448.7
95,0.21679,0.0493232593017507,206544.38
96,0.23767,0.0551196828022056,150458.52
97,0.25996,0.0615972965944679,109010.01
98,0.28365,0.068836153527266,78705.1
99,0.30868,0.0769257141855622,51688.91
100,0.33498,0.0859659524789525,31583.05
101,0.36246,0.0960685911577863,20895.41
102,0.39096,0.107358482525992,12590.56
103,0.42033,0.119975151413987,7264.86
104,0.45038,0.134074519480322,4220.66
105,0.48089,0.149830832151662,2370.44
106,0.51164,0.167438812014944,1288.54
107,0.54239,0.187116065274185,678.17
108,0.57289,0.209105771011849,331.74
109,0.60292,0.23367968648971,163.56
110,0.63226,0.261141505629872,158.64
